"package","feature","feature_label","classification","source_ids","evidence_note","verified_on"
"gp3sequences","neutral_long_format_input","Neutral long-format input with explicit mappings","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","explicit_preprocessing_policy","Explicit preprocessing and ordering policy","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","state_sequence_summaries","State-sequence summaries and descriptive views","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","motif_or_pattern_mining","Motif or sequential-pattern mining","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","bounded_noncontiguous_subsequences","Bounded noncontiguous subsequence extraction","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","sequence_distances","Pairwise sequence dissimilarities","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","clustering","Sequence clustering","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","cluster_stability","Cluster stability or typology validation","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","transition_networks","Transition-network construction and analysis","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","higher_order_markov","Higher-order or variable-memory Markov models","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","categorical_hmm","Categorical hidden Markov models","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","mixture_hmm","Mixture hidden Markov models","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","multichannel_hmm","Multichannel hidden Markov models","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","covariate_hmm","Covariate-dependent latent-state models","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","longitudinal_panel_workflow","Explicit longitudinal panel-comparison workflow","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","time_varying_models","Time-varying sequence models","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","design_aware_inference","Declared-design group inference or randomization","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","machine_readable_diagnostics","Machine-readable diagnostics and failure information","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","analysis_contracts","Declared analysis-capability contracts","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","provenance_comparison","Cross-analysis settings and provenance comparison","native","gp3-local","Directly implemented in the exported gp3sequences workflow and verified against local manuals, vignettes, tests, and audits.","2026-08-06"
"gp3sequences","specialist_interoperability","Documented interoperability with specialist sequence software","optional_adapter","gp3-local","Guarded adapters are exported for TraMineR, seqHMM, arulesSequences, and igraph objects.","2026-08-06"
"TraMineR","neutral_long_format_input","Neutral long-format input with explicit mappings","partial","traminer-jss;traminer-manual","Related functionality is documented, but it does not match the full neutral-input, bounded-output, declared-design, or common-diagnostic dimension used for gp3sequences.","2026-08-06"
"TraMineR","explicit_preprocessing_policy","Explicit preprocessing and ordering policy","partial","traminer-jss;traminer-manual","Related functionality is documented, but it does not match the full neutral-input, bounded-output, declared-design, or common-diagnostic dimension used for gp3sequences.","2026-08-06"
"TraMineR","state_sequence_summaries","State-sequence summaries and descriptive views","native_specialist","traminer-jss;traminer-manual","Sequence descriptions, visualizations, longitudinal characteristics, and numerous pairwise dissimilarities are central documented capabilities.","2026-08-06"
"TraMineR","motif_or_pattern_mining","Motif or sequential-pattern mining","partial","traminer-jss;traminer-manual","Related functionality is documented, but it does not match the full neutral-input, bounded-output, declared-design, or common-diagnostic dimension used for gp3sequences.","2026-08-06"
"TraMineR","bounded_noncontiguous_subsequences","Bounded noncontiguous subsequence extraction","partial","traminer-jss;traminer-manual","Related functionality is documented, but it does not match the full neutral-input, bounded-output, declared-design, or common-diagnostic dimension used for gp3sequences.","2026-08-06"
"TraMineR","sequence_distances","Pairwise sequence dissimilarities","native_specialist","traminer-jss;traminer-manual","Sequence descriptions, visualizations, longitudinal characteristics, and numerous pairwise dissimilarities are central documented capabilities.","2026-08-06"
